AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
42955.00,95.00,500.00,30.00,7.80,7.10,94.00,42.00,10.03,0.32,,
42570.00,96.00,500.00,20.00,7.70,7.09,79.00,40.00,9.96,0.32,,
43058.00,98.00,1000.00,30.00,7.70,7.05,70.00,34.00,10.26,0.32,,
41381.63,99.00,500.00,20.00,7.63,7.05,86.00,21.00,10.15,0.32,,
42558.40,97.00,500.00,30.00,7.66,7.01,107.00,28.00,10.48,0.36,,
40740.00,94.00,500.00,20.00,7.64,7.07,110.00,37.00,10.17,0.38,,
44113.00,97.00,500.00,30.00,7.64,7.07,111.00,38.00,10.60,0.38,,
42263.00,97.00,500.00,20.00,7.71,7.07,104.00,48.00,10.45,0.39,,
43223.00,87.00,1000.00,20.00,7.83,7.20,87.00,44.00,10.33,0.39,,
42051.00,96.00,500.00,30.00,7.77,7.17,135.00,45.00,10.20,0.32,,
41825.00,91.00,500.00,30.00,7.77,7.20,129.00,36.00,10.89,0.39,,
41505.00,95.00,550.00,30.00,7.94,7.22,79.00,28.00,10.33,0.37,,
42988.00,93.00,500.00,20.00,7.89,7.21,114.00,34.00,11.33,0.31,,
44401.00,92.00,1000.00,30.00,8.00,7.21,98.00,31.00,10.80,0.41,,
43241.00,96.00,500.00,20.00,7.81,7.15,101.00,30.00,11.46,0.36,,
44904.00,93.00,500.00,30.00,7.62,7.07,121.00,38.00,11.05,0.35,,
43507.00,93.00,500.00,30.00,7.75,7.09,107.00,40.00,11.55,0.34,,
43950.00,84.00,1000.00,30.00,7.74,7.08,110.00,37.00,11.68,0.32,,
42948.00,105.00,500.00,20.00,7.82,7.04,109.00,31.00,11.68,0.35,,
43097.00,97.00,500.00,20.00,7.77,6.93,109.00,35.00,11.16,0.33,,
40999.00,98.00,500.00,30.00,7.70,7.11,107.00,40.00,11.48,0.35,,
42918.00,98.00,500.00,10.00,7.69,7.08,113.00,41.00,11.71,0.32,,
45839.00,95.00,1000.00,30.00,7.74,7.09,133.00,46.00,12.37,0.31,,
42151.00,96.00,500.00,30.00,7.75,7.14,115.00,39.00,11.90,0.33,,
42429.00,94.00,500.00,30.00,7.76,7.14,72.00,27.00,11.60,0.35,,
42940.00,100.00,500.00,30.00,7.79,7.10,80.00,25.00,11.62,0.34,,
42956.00,83.00,500.00,30.00,7.75,7.16,90.00,34.00,11.80,0.37,,
42887.00,97.00,1000.00,30.00,7.77,7.13,98.00,39.00,11.50,0.36,,
42985.00,101.00,550.00,20.00,7.81,7.15,121.00,40.00,10.80,0.34,,
43470.00,93.00,500.00,30.00,7.80,7.16,127.00,40.00,11.27,0.32,,
41866.00,91.00,500.00,30.00,7.82,7.12,106.00,33.00,10.46,0.38,,
43834.00,95.00,500.00,20.00,7.78,7.04,78.00,36.00,10.38,0.30,,
44125.00,94.00,1000.00,30.00,7.58,7.09,112.00,37.00,10.37,0.43,,
44846.00,95.00,550.00,40.00,7.59,7.00,99.00,35.00,10.30,0.36,,
41497.00,99.00,500.00,30.00,7.64,6.97,108.00,35.00,10.13,0.32,,
43693.00,103.00,500.00,30.00,7.60,7.10,138.00,42.00,11.12,0.34,,
42961.00,97.00,500.00,30.00,7.52,7.02,117.00,35.00,12.80,0.36,,
