V_COD_ESTA,V_ANO,V_MES,V_DIA,N_VI101,N_VI102,N_VI103,V_VT101,N_VT102,V_VT103,N_VT104,V_VT105,N_VT106,V_NB104,N_NB105,N_NB106,V_NB107,N_NB108,V_NB109,N_NB110,V_NB111,N_NB112,N_NB113,V_NB114,N_NB115,V_NB116,N_NB117,V_NB118,N_NB119,N_NB120,V_NB121,N_NB122,V_NB123,N_NB124,N_TM102,N_TM103,N_TM104,N_TM105,N_TM106,N_TM107,N_TM108,N_TM109,N_PT101,N_PT102,N_PT103,N_EV103,N_EV104,N_EV109
374,2013,2,22,35,36,1,E,2,E,2,W,4,CU,5,1300,AC,3,,,CU,7,1300,,,,,ST,8,600,,,,,17.2,10.2,10.9,12.8,13.2,9.8,11.3,10.8,17.6,0.6,3.4,0.3,1.2,1.4
374,2013,2,23,25,35,15,E,2,E,2,W,2,ST,8,500,,,,,CU,4,1400,AC,2,CI,1,CU,2,1400,AC,3,CI,2,19.4,8.7,8.8,17.8,11.7,8.4,13,10.4,0.4,14.2,0.4,0.2,1.2,1.4
374,2013,2,24,35,40,20,E,2,W,4,E,4,CU,3,1400,AC,4,CI,1,CU,5,1400,AC,3,,,CU,1,1300,AC,1,CI,2,20.7,7.4,9.6,18.8,14.4,9,12.6,11.2,0,0,0,0.2,1.4,1.8
374,2013,2,25,30,39,8,W,2,W,4,E,2,CU,5,1300,AC,2,,,CU,5,1400,AC,1,,,SC,4,1000,AC,3,CI,1,19.4,7.3,10,19.3,14.6,9.4,13.6,11,1.9,0,0.2,0.4,1.4,1.7
374,2013,2,26,20,28,10,E,2,W,2,E,2,SC,8,1000,,,,,ST,8,600,,,,,SC,8,800,,,,,19.2,9,10,15.6,13.2,9.6,12.5,11.4,0.3,1.7,0.3,0.3,1.2,1.8
374,2013,2,27,30,40,1,E,2,E,2,W,4,CU,4,1400,AC,3,,,CU,5,1400,AC,1,CI,1,ST,8,200,,,,,20.4,10.7,11.4,18.6,11.3,9.2,12.4,10.2,21,0,12.3,0.6,2,2.1
374,2013,2,28,20,35,1,E,2,W,4,W,4,SC,6,1000,AC,2,,,CU,4,1400,AC,1,CI,2,ST,8,300,,,,,18.7,9.4,10.4,17,14,9.8,12,11.9,1.8,8.7,0.8,0.1,1.3,1.6
374,2013,3,1,20,30,1,W,2,W,4,E,1,SC,7,1000,AC,1,,,CU,6,1400,AC,2,,,ST,8,200,,,,,19.2,10.9,11,17.2,11.1,10.2,12.8,9.7,21.2,1,14.3,0.3,1.2,1.3
374,2013,3,2,15,35,4,W,2,E,4,E,4,SC,8,1000,,,,,CU,4,1400,AC,1,CI,2,SC,8,700,,,,,20,9.4,9.8,18.9,14.4,9.6,12.8,11.6,0.1,6.9,0,0.1,1.5,2.2
374,2013,3,3,30,32,10,E,2,W,4,E,4,CU,7,1200,AC,1,,,SC,8,1000,,,,,CU,3,1400,AC,2,CI,3,18,11,11.2,17.5,12.9,9.8,12.3,11.6,5.6,0.1,1.8,0.7,1.4,1.8
