;Mes;tx;tm;pp;etp
2295;4;18.8752243;6.116477714;5.651656393;2.901984893
2296;4;18.88885629;5.152322052;2.142257077;2.938865265
2297;4;18.22717358;4.893438204;0.914236438;3.091785405
2298;4;18.45241987;4.161364582;8.355532129;2.907633693
2299;4;18.7584322;6.045459569;2.111261171;2.937263049
2300;4;18.83647628;4.783246104;1.30516;3.033501369
2301;4;19.78999479;1.960823279;0.409780664;3.010527855
2302;4;18.07484091;4.251891407;2.894848647;2.838133592
2303;4;15.82771514;3.289124528;2.88011239;2.069326333
2304;4;17.77324414;3.962159304;0.017836168;2.866634685
2305;4;18.96754638;3.615986906;0.124191061;2.986106155
2306;4;19.18210763;2.756992166;0.038015976;2.966301713
2307;4;18.93633872;0.38716592;0.088180329;3.02758437
2308;4;18.23958497;0.666743854;0.577988579;3.093021354
2309;4;19.07644797;0.697939154;0.093443894;2.850028801
2310;4;19.50346559;0.995450659;0.198098982;2.957315072
2311;4;19.31821289;1.536156044;0.083844905;2.934902691
2312;5;20.68222124;0.806700218;1.049046626;2.812472723
2313;5;19.98747124;0.986893526;0.51374574;2.691479569
2314;5;19.09663059;2.397676889;5.967812909;2.132139813
2315;5;18.86475659;2.634941123;1.102691834;2.760702963
2316;5;17.21538544;4.513101373;3.330273281;2.893619295
2317;5;18.31879531;3.465611841;0.125838716;2.877717334
2318;5;18.42939588;1.94203346;2.703843235;2.832883919
2319;5;19.43045351;-0.05972356;0.706610876;2.870190322
2320;5;18.70939861;4.032155009;2.939895984;2.860913854
2321;5;18.63955304;2.870417583;0.008618049;2.944370802
2322;5;18.50302908;1.973270175;0.075283502;2.820820226
2323;5;19.67790982;1.714729094;0.146294089;2.6444013
2324;5;19.22807191;2.142963901;0.008146319;2.767900721
2325;5;20.48338265;1.5487246;0.075239165;2.145146222
2326;5;19.80571745;0.837105732;0.196671049;2.819244368
2327;5;18.67978567;0.724757441;1.373540012;2.836736823
2328;5;17.14736619;1.273980562;2.616314463;2.891443938
2329;5;17.93861097;3.245539704;0.237080164;2.871470792
2330;5;19.14376661;2.842552196;0.003876508;2.781804823
2331;5;18.73490708;-0.974283067;0.021610896;2.899776857
2332;5;18.01975109;-1.896844483;1.344390502;2.864544042
2333;5;17.06974723;-0.486045908;0.000420858;2.83165651
2334;5;17.37101322;-0.365359391;0;2.712886841
2335;5;16.82951673;-0.365928522;7.59792E-05;2.838313165
2336;5;16.41309101;0.420719241;0.011006414;1.63626104
2337;5;17.83129654;1.61691354;0.002645458;2.128525749
2338;5;18.65598307;0.93304235;0.036881477;2.905157323
2339;5;19.5243415;0.319280856;0.000164719;2.813403437
2340;5;19.28133528;1.261276697;0.022739693;2.868179763
2341;5;19.53420323;0.05233794;0.012861273;2.983444686
2342;5;17.17237444;0.776097524;0.054200979;2.896405845
2343;6;18.16349069;0.710589889;0.003374511;2.875614459
2344;6;19.18108864;-1.099037016;0.000229049;2.781404971
2345;6;19.43241918;-1.554582531;0.00030737;2.924618287
2346;6;18.89277615;-1.079006508;1.345721971;2.903790922
2347;6;18.82707593;-0.766622022;0.977871553;2.851091999
2348;6;18.04298795;-2.123830236;2.301542742;2.081269885
2349;6;18.35199364;-0.678871864;0.188890324;2.864794941
2350;6;17.00321778;-1.327739971;0.904250627;2.880158005
2351;6;17.53445253;-0.096611086;0.546867854;2.845185739
2352;6;17.75588615;0.277769428;0.737768324;2.903301996
2353;6;18.80295972;-1.112798996;0.002930563;2.813008539
2354;6;18.95547267;-2.058804762;0.176907282;2.61355328
2355;6;17.83096434;-0.355166625;0.072783905;2.709019754
2356;6;18.06736398;-0.392718993;0.01897481;2.73093047
2357;6;18.16595832;-0.330171937;2.224353595;2.820483256
2358;6;17.45483986;0.402551006;2.200180224;2.820733489
2359;6;17.3384487;0.838681525;0.796386233;2.057739098
2360;6;17.13276138;3.189352;0.557671732;2.820761613
2361;6;16.97925679;2.818762054;0.053254123;2.819781873
2362;6;18.20245951;0.634625762;0.000888647;2.817097954
2363;6;18.59911937;-0.17087414;0.001372225;2.755321007
2364;6;18.73205971;-1.874547829;0.0014747;2.57036319
2365;6;18.40711273;-0.306111942;0.130488148;2.698143889
2366;6;17.26331586;-0.068486667;0.094396922;2.750644059
2367;6;16.83815756;1.131600794;0.185007601;2.616529401
2368;6;15.29211869;1.854977696;0.418182239;2.669351058
2369;6;17.02764399;1.525148468;0.00150951;2.71234855
2370;6;17.87729623;0.066845028;0.000819247;1.989255024
2371;6;18.33134723;0.565648386;0.051564283;2.701710334
2372;6;17.89493325;0.413451972;0.461481959;2.593115308
2373;7;16.22709239;0.939247161;6.207223732;2.650603203
2374;7;14.22674015;1.881403464;9.582016155;2.601624936
2375;7;14.97348354;1.766014722;6.756287961;2.682817447
2376;7;15.07788134;1.893165966;0.683680866;2.599827468
2377;7;16.5700111;1.316138138;0.127803789;2.619758754
2378;7;17.36742827;0.00595558;0.087668616;2.622464608
